  1 model_name,skill_type,ROUGE-1-F1,ROUGE-L-F1,ROUGE-1-Recall,ROUGE-L-Recall,BERTScore-Recall,BERTScore-F1,CosineSimilarity,SBC-Score,SBC-SemanticScore,SBC-CompletenessScore,SBC-CosineScore 
  2 t5-small,summarization,0.3168732201300991,0.22790341725260446,0.34667034453156403,0.24974723943461913,0.8563736766576767,0.8634754002094269,0.5892642,0.5375956892967224,0.8634754002094269,0.16004725899392747,0.5892642140388489 
  3 eprasad/t5-small-llama70b-distill-summarization,summarization,0.30091724956008276,0.21830024886790647,0.4608405322286218,0.3375791771505767,0.8705643171072006,0.8610154610872268,0.62964463,0.547909140586853,0.8610154610872268,0.15306729684308656,0.6296446323394775 
  4 eprasad/t5-small-qwen3-distill-summarization,summarization,0.28965939703939847,0.19961088762942913,0.4386102466839439,0.30453313130917725,0.8677753508090973,0.8590610438585281,0.628604,0.543088972568512,0.8590610438585281,0.14160185146024465,0.628603994846344 
  5 AhilanPonnusamy/distilled-t5small-summarizer,summarization,0.324416885357518,0.2522806359186685,0.3278175784357062,0.2534075263207407,0.859243066906929,0.869640771150589,0.6207363,0.5552231073379517,0.869640771150589,0.17529253060992578,0.620736300945282
